Name,Type,Rating,No of Reviews,Comments,Contact Number,Price,Address
LIC Market," American, International, Vegetarian Friendly",4.5,201.0,"A friend and myself finally got around to checking out this cute location for Sunday brunch. And so glad we did! The food was delicious and reasonably priced (for a “NYC” weekend brunch - we spent about $30 each, which included the two mimosas we...More",+1 718-361-0013,2.5,"2152 44th Dr, Long Island City, NY 11101-4710"
Bruno's Restaurant," Italian, Vegetarian Friendly, Vegan Options",4.5,321.0,Go there often the food is amazing the ambiance is great and it is quiet and relaxing owner always on site  a intimate restaurant and as I said u will not be unhappy with the food,+1 718-322-7866,2.5,"15822 Crossbay Blvd, Howard Beach, NY 11414-3136"
Country Corner Cafe," Vegetarian Friendly, Gluten Free Options, Vegan Options",4.0,219.0,There were eight of us for breakfast (do recommend reservations).  It was excellent.  They have very unique products at the Country Corner Cafe.  The homemade strawberry jam that they serve with the meal is amazing!  I even put some on my pancakes.,+1 518-583-7889,1.0,"25 Church St, Saratoga Springs, NY 12866-2390"
John Brown Smokehouse," American, Bar, Barbecue",4.5,396.0,"Headed here late on my first night staying locally for a quick bite to eat. Got here just after 9pm and unsurprisingly, they’d sold out of pulled pork and burnt ends (my first two choices), but I was more than happy to sample the brisket...More",+1 347-617-1120,2.5,"1043 44th Dr, Long Island City, NY 11101-7037"
B Side Pizzeria," Italian, Pizza, Vegetarian Friendly",4.5,490.0,"We loved our visit. The Killer Bee Pizza is great and so is Marge. We also enjoyed the eggplant Parmesan. If anything could be better it would be the seating arrangement. In any case, we will certainly be back.",+1 646-679-7225,2.5,"370 W 51st St, New York City, NY 10019-6403"
Ithaca Beer Co.," American, Brew Pub, Bar",4.5,308.0,We celebrated Valentine's Day at the Taproom. Thoroughly enjoyable. We hadn't been there in a dozen years so it was like catching up with an old friend. They have their own farm now. They post on the blackboard how much of their food is currently...More,+1 607-273-0766,2.5,"122 Ithaca Beer Dr, Ithaca, NY 14850-8813"
O'Neills Staten Island," Irish, American, Vegetarian Friendly",4.5,45.0,"We attended tonight because our Knights of Columbus was having a fund-raiser. We had pretzels and macraroni and cheese egg roll for apppetizers. My wife had the stuffed pork chops, I had Chicken parmigiana with rigatoni pasta. Our daughter had a burger on an english...More",+1 718-273-4481,2.5,"1614 Forest Ave, Staten Island, NY 10302-2230"
Just a Taste," American, Spanish, Wine Bar",4.5,533.0,"On my first visit, I went on a Friday evening at opening. There was line outside, which I thought was promising, considering the reviews.
The room was filled immediately but the wait staff was fairly prompt. Our orders came out in a reasonable amount of...More",+1 607-277-9463,2.5,"116 N Aurora St, Ithaca, NY 14850-4302"
MezzaNotte," Italian, Vegan Options, Gluten Free Options",4.5,206.0,"Excellent-salad appetizer, and taupenade with our bread, halibut special and cognacs!  We will return. Buonasera!",+1 518-689-4433,2.5,"2026 Western Ave, Albany, NY 12203-5096"
Antonio's Trattoria," Italian, Vegetarian Friendly, Vegan Options",4.5,228.0,"Waiter had no personality at all - bus boy was more involved in meal.
Hot antipasto appetizer was  not well presented or prepared as all the different items seemed to mix with each other and share the same sauces. 
Dinner- Veal Parmigiana was overcooked and...More",+1 718-733-6630,2.5,"2370 Belmont Ave, Bronx, NY 10458-8208"
The Thirsty Koala," Australian, Vegetarian Friendly, Vegan Options",4.5,135.0,"WOW, what a great experience.  Authentic Australian drinks, food and culture here in Astoria, NY.  The atmosphere here is fun and very lively.  From the appetizers to the entrees everything was delicious .  My friends and I took the advice of the owner and staff...More",+1 718-626-5430,2.5,"3512 Ditmars Blvd, Astoria, NY 11105-2107"
Hattie's, American,4.0,747.0,"Took friends into restaurant for pre chowderfest dinner. We all had fried chicken, Nashville chicken and catfish. 
There chicken has been rated best in ny state by food channel and after you try you will taste why. Awards all over the walls 
Small place nice...More",+1 518-584-4790,2.5,"45 Phila St, Saratoga Springs, NY 12866-3211"
Lanie's Cafe," Italian, American, Bar",4.5,176.0,"While visiting Albany we came here for dinner. It was a long wait (Saturday night and we did not have reservations).  The restaurant was noisy but the food was very good.  As others mentioned, the portions are large.  We saw many people leaving with leftovers,...More",+1 518-438-5005,2.5,"471 Albany Shaker Rd, Albany, NY 12211-1583"
Aloy's Italian Restaurant," Italian, Pizza, Vegetarian Friendly",4.5,153.0,Haven't been to Alloy's in years so wife and I and 5 of our friends decided to eat here. Food was absolutely delicious and portions were large. Service was out of this world. Prices were very reasonable. We will defiantly start going more often.,+1 845-473-8400,2.5,"157 Garden St, Poughkeepsie, NY 12601-1933"
Nerai," Seafood, Mediterranean, Greek",4.5,647.0,"If you're looking to get off of ""restaurant row"" and need an option for a pre show meal, I would recommend Nerai.  The space is very nice and roomy for a NY restaurant.  We had more then a foot in between tables.  The wait staff...More",+1 212-759-5554,4.0,"55 E 54th St, New York City, NY 10022-4206"
Lombardo's Pizza and Pasta," Italian, Pizza, Vegetarian Friendly",4.0,96.0,"Came here on the spur of the moment. We had the Marguerita pizza
and the calamari scarpiello which was the best we ever had
Comes with a little sausage and a hint of spice

Excellent service.",+1 914-615-9090,2.5,"1203 Mamaroneck Ave, White Plains, NY 10605-4804"
Amy Ruth's Home Style Southern Cuisine," American, Vegetarian Friendly",4.0,895.0,Hands down the best fried chicken I have ever had! Come hungry - the portions are huge. Can’t wait to go back and have the chicken and waffles. My husband said it was great!,+1 212-280-8779,2.5,"113 W 116th St, New York City, NY 10026-2521"
zero otto nove," Italian, Pizza, Vegetarian Friendly",4.5,426.0,"A fund and exciting menu...staff is helpful and  accommodating  and dining there is really an experience like
being in  Tuscany...especially if it is someone's birthday!",+1 718-220-1027,2.5,"2357 Arthur Ave, Bronx, NY 10458-8103"
Joe & Pat Pizzeria," Italian, Pizza, Vegetarian Friendly",4.5,107.0,the pizza here is one of Staten Islands best.  They make a thin crust and it's super nice. This is a delicious meal paired with one of their salads.....love the fennel one.  Try an add on to the pizza and save your appetite because you...More,+1 718-981-0887,2.5,"1758 Victory Blvd, Staten Island, NY 10314-3510"
Duff's Famous Wings," American, Bar, Pub",4.0,214.0,"We got wings, and boneless wings. They weren’t anything extraordinary. Service was poor and slow . Never got one of our orders and was given the wrong bill! Definitely have had better",+1 716-236-0333,1.0,"8351 Niagara Falls Blvd, Niagara Falls, NY 14304-4708"
BLT Steak White Plains," American, Steakhouse, Gluten Free Options",4.0,205.0,"We are locals and had dinner here for the first time and were very disappointed and surprised by the poor service we received. Things started off nicely, we were seated promptly, the dining room was filling up. We ordered drinks and the $8 bottle of...More",+1 914-467-5500,4.0,"221 Main Street, White Plains, NY 10601"
Agnanti," Mediterranean, Greek, Vegetarian Friendly",4.5,175.0,"I went to this lovely restaurant during my visit to New York. I’ve been working in a Greek restaurant, in Holland, owned by a lovely Nice Greek family, myself for almost 3 years now and I must see that the food was incredibly delicious and...More",+1 718-545-4554,2.5,"1906 Ditmars Blvd, Astoria, NY 11105-3658"
City Vineyard," American, Bar, Seafood",4.5,374.0,"Came here to see Andrea Gibson perform, we were excited for the show but became even more excited when we saw what a cool spot this was, the Views and vibe were awesome and to match the ambiance, the service and food were phenomenal. We...More",+1 646-677-8350,2.5,"233 West Street, New York City, NY 10013"
The Melting Pot," American, Vegetarian Friendly, Gluten Free Options",4.0,222.0,"Been coming here a while and don’t usually write reviews. Today Danaya gave us the best service I’ve had anywhere ever! She was truly amazing and had us smiling all night and that deserves recognition! Also, when reserving a table online, the 3 roses make...More",+1 914-993-6358,2.5,"30 Mamaroneck Ave, White Plains, NY 10601-3308"
Brasserie 292," European, French, Vegetarian Friendly",4.5,353.0,This used to be one of our favorite restaurants. We had such a bad experience for dinner last night we probably will never go back again. Looks like the staff was too busy for us. We seemed to be ignored which turned a simple dinner...More,+1 845-473-0292,2.5,"292 Main St, Poughkeepsie, NY 12601-3108"
Manhatta," American, Vegetarian Friendly, Gluten Free Options",4.5,308.0,"Wow, what a place.  Food was fantastic.  Views are ridiculous.
But what set my visit apart was a specific manager working that night.
The beginning of my experience at the Chef's Table was less than stellar, but then Paris got involved.   I didn't have to...More",+1 212-230-5788,4.0,"28 Liberty St, New York City, NY 10005-1400"
Calle Ocho," Latin, Central American, Spanish",4.0,465.0,"We went a few weeks after opening. The food was mediocre, service was mediocre, and management seemed totally overwhelmed and unprepared.  The experience was quite negative and  we will not be back.",+1 212-873-5025,2.5,"2756 Broadway, New York City, NY 10025"
Bakery Restaurant and Lounge," American, Steakhouse, Seafood",4.5,294.0,We come once a week for delicious food and excellent service!!! Great atmosphere and friendly people!  Haven't had a bad meal yet!  We've been coming for 4 years!,+1 716-282-9498,2.5,"3004 Niagara St, Niagara Falls, NY 14303-2030"
Enoteca Maria," Italian, Vegetarian Friendly, Vegan Options",4.5,218.0,"Went there for the SECOND time and walked out saying ...."" Why did we come here again?!""
I don't think I will be going back unfortunately.... I understand it was Valentines Day and I shouldn't expect a lot.... but coming from a #7 rated best...More",+1 718-447-2777,2.5,"27 Hyatt St, Staten Island, NY 10301-1801"
Jackson Diner," Indian, Vegetarian Friendly, Vegan Options",4.0,149.0,"We chance upon this restaurant as we were visited the Little India of NY at Queens. There were serving lunch buffet at a reasonable price.

The buffet was mediocre; maybe their a la carte is better; we're not sure. We will probably try other restaurants...More",+1 718-672-1232,2.5,"3747 74th St, Jackson Heights, NY 11372-6337"
Oregano," Italian, Pizza, Vegetarian Friendly",4.5,281.0,Beaut little place run by the nicest people. We were treated like friends and the food was superb. I’d go back in a heartbeat! Thanks team Oregano!,718-599-5988,2.5,"102 Berry St, Brooklyn, NY 11249-3231"
Home Style Pizza & Submarine," Italian, Pizza, Vegetarian Friendly",4.0,108.0,"Outstanding pizza and fantastic service by Colleen. Pizza was tasty, hot, and satisfied four children and three adults! Would definitely  back here again in a heartbeat",+1 518-372-7270,2.5,"1720 Union St, Schenectady, NY 12309-6222"
SottoCasa Pizzeria," Pizza, Neapolitan, Campania",4.5,406.0,"This is my second time here. I didn’t think it could get better but it did:) first time I ate pizza with blue cheese, which usually takes over all other tastes. In this case however, it was PERFECTION. This time however I ate the Special...More",+1 646-928-4870,2.5,"227 Lenox Ave, New York City, NY 10027-6542"
Queen Italian Restaurant," Italian, Vegetarian Friendly, Vegan Options",4.5,334.0,"All is done on premise, they have  delicious food and all natural ingredients. The breads they serve at the table, the desserts, the fresh pasta, it’s all so good and so delicious.  They make sure my food is prepared for me since i am pescatarian...More",+1 718-596-5955,2.5,"84 Court St, Brooklyn, NY 11201-5042"
Adrienne's Pizzabar," Italian, Pizza, Vegetarian Friendly",4.5,854.0,"Came across this pizza bar walking back to our hotel after visiting the Statue of Liberty. I am so glad we came here; the pizza was out of this world. The flavours were incredible, pizza was well presented, and 1 pizza was shared between 3...More",+1 212-248-3838,2.5,"54 Stone St, New York City, NY 10004-2617"
Suzy Q's Barbeque Shack," American, Barbecue",4.5,133.0,After about 5 tries to find them open I finally got to try this place. After all the reviews i was expecting to be blown away... i was not. the is decent BBQ for Buffalo but was lacking the smoked flavor good BBQ has. The...More,+1 716-873-0757,2.5,"2829 Niagara St, Buffalo, NY 14207-1031"
Blue Ribbon Restaurant," Seafood, Gluten Free Options",4.5,372.0,Great Food at a great price Prime rib was cooked to perfection and the aus Juis sauce was good on the potatoes.,+1 518-393-2600,2.5,"1801 State St, Schenectady, NY 12304-2023"
The Hollow Bar + Kitchen," Italian, American, Bar",4.0,167.0,"Chose this place due to location down the street from stadium and menu options. Rustic atmosphere, creative decorating, very friendly staff and delicious dinner. All of us were satisfied. Recommend reservations, even if going at an off time.  Would go here again.",+1 518-426-8550,2.5,"79 N Pearl St, Albany, NY 12207-2293"
Simeon's On the Commons," American, Bar, Pub",4.0,219.0,My girlfriend and I had a recent trip to Ithaca and were treated terrificall by the Brenda who has been a long time employee.  The restaurant is on the commons so its convenient to the downtown hotels and has a feel of comfort in an...More,+1 607-272-2212,2.5,"224 E State St, Ithaca, NY 14850-5548"
Zaika Indian Cuisine Buffet & Bar," International, Indian, Asian",4.5,496.0,"Went to Zaika after reading the reviews.   Food was OK,  some dishes were pretty good.  We would have preferred entrees be cooked when ordered as oppose to a buffet.  Makes us wonder the freshness of the entrees in a buffet setting.  The naan was quite...More",+1 716-804-0444,2.5,"421 3rd St, Niagara Falls, NY 14301-1505"
London Lennie's," American, Seafood, Gluten Free Options",4.0,297.0,"I tend to avoid restaurants where almost all of the main courses are over $30 but this place has a special ranking. In the past I have been to top seafood restaurants in Manhattan and elsewhere and for me, none are better than LL. We...More",+1 718-894-8084,2.5,"6388 Woodhaven Blvd, Rego Park, NY 11374-4840"
Nic L Inn Wine Cellar on the Hudson," Italian, American, Wine Bar",4.5,308.0,"We went to dinner on New Year’s Eve.  Food was excellent, they were out of the rib eye and substituted a sirloin for my husband.  I had the salmon, both  entrees were delicious.  My husband had the eggnog cheesecake which was again delicious.  I got...More",+1 845-452-5649,2.5,"135 N Water St, Poughkeepsie, NY 12601-1756"
zero otto nove," Italian, Pizza, Vegetarian Friendly",4.5,426.0,"A fund and exciting menu...staff is helpful and  accommodating  and dining there is really an experience like
being in  Tuscany...especially if it is someone's birthday!",+1 718-220-1027,2.5,"2357 Arthur Ave, Bronx, NY 10458-8103"
Skyline Diner," American, Diner, Vegetarian Friendly",4.5,63.0,"If your looking for great food,fast service and friendly staff, skyline is a must try We only go for breakfast but im sure all there food is good.",+1 518-434-0233,1.0,"314 Columbia St, Rensselaer, NY 12144-2919"
Tara Kitchen," Moroccan, Vegetarian Friendly, Vegan Options",4.5,303.0,"This was my first time eating Moroccan food so I was a bit hesitant to try anything too far off the ""beaten path"" but the server was very helpful in making recommendations and everything I tried was excellent! The tea to start was very warming,...More",+1 518-708-3485,2.5,"431 Liberty St, Schenectady, NY 12305-1916"
Antonio's Trattoria," Italian, Vegetarian Friendly, Vegan Options",4.5,228.0,"Waiter had no personality at all - bus boy was more involved in meal.
Hot antipasto appetizer was  not well presented or prepared as all the different items seemed to mix with each other and share the same sauces. 
Dinner- Veal Parmigiana was overcooked and...More",+1 718-733-6630,2.5,"2370 Belmont Ave, Bronx, NY 10458-8208"
Adobe Blues Restaurant," Bar, Mexican, American",4.5,89.0,"Adobe Blues is a small restaurant serving southwestern food on the north shore of Staten Island. It is a cozy, comfortable, nicely decorated place not far from Snug Harbor, another S.I. spot worth visiting. The Tex-Mex style food is very tasty and the waiters are...More",+1 718-720-2583,2.5,"63 Lafayette Ave, Staten Island, NY 10301-1216"
Casey's Restaurant," American, Bar, Vegetarian Friendly",4.5,145.0,This restaurant has been around for years and I have eaten at it many times both for lunch and an occasional dinner.  In the past they also had nights where the featured meals that could be ordered ahead and picked up.  I even participated in...More,+1 518-463-3318,2.5,"77 Washington Ave, Rensselaer, NY 12144-1551"
Hutch's," American, Vegetarian Friendly, Gluten Free Options",4.5,384.0,"From the outside, Hutch's is nothing special. But inside it's charming and the food is delicious. We were lucky to walk in and get a table straight away. They seated us without complaint even though we were dressed a bit too casually. I recommend, making...More",+1 716-885-0074,4.0,"1375 Delaware Ave, Buffalo, NY 14209-1108"
Basilio Inn," Italian, Gluten Free Options, Vegetarian Friendly",4.5,111.0,"My family dines at Basilios almost weekly. Maurice, the owner, has the freshest red sauce from homegrown tomatoes. His homemade pasta is delicious. Where the historic building lacks in interior decor the food rates top stars. Reservations are strongly suggested.",+1 718-720-6835,2.5,"6 Galesville Ct, Staten Island, NY 10305-4702"
Dom & Vinnie's Restaurant," Italian, Pizza, Vegetarian Friendly",4.5,41.0,"Food was ok. But I’m quite annoyed at the “salad” I ordered. It was just lettuce with one cucumber slice, a tomato chunk and half or even half of a half sliver of onion. Chicken parm was ok but that salad seriously sucked. Step your...More",+1 914-476-6666,2.5,"351 Saw Mill River Rd, Yonkers, NY 10701-5531"
Han Noodle Bar," Chinese, Asian, Vegetarian Friendly",4.5,135.0,"I had vegetables and noodles, absolutely wonderful, friendly and comfortable environment, great prices too.",+1 585-242-7333,1.0,"687 Monroe Ave, Rochester, NY 14607-3148"
Gola Osteria," Italian, Vegetarian Friendly, Gluten Free Options",4.5,201.0,"We ate with a large group of about a dozen, and the food was served family style. It makes my mouth water just to write about the delicious Italian dishes.  The chicken parm melted in you mouth, and the pasta was genuine. The food is...More",+1 607-273-0333,4.0,"115 S Quarry St, Ithaca, NY 14850-4500"
LIC Market," American, International, Vegetarian Friendly",4.5,201.0,"A friend and myself finally got around to checking out this cute location for Sunday brunch. And so glad we did! The food was delicious and reasonably priced (for a “NYC” weekend brunch - we spent about $30 each, which included the two mimosas we...More",+1 718-361-0013,2.5,"2152 44th Dr, Long Island City, NY 11101-4710"
Osteria 166," Italian, Vegetarian Friendly, Vegan Options",4.5,332.0,"Absolutely delicious , authentic Italian cuisine !!! Great stuff 🎈delicious dessert! Awesome pizza ,authentic carbonara",716-858-3118,2.5,"166 Franklin St, Buffalo, NY 14202-2407"
Lakruwana," Asian, Sri Lankan, Vegetarian Friendly",4.5,51.0,"I’ve been to many Sri Lankan restaurants, during my time in NYC, but this place is certainly the best we have that is still standing. As soon as you walk in, you don’t feel like looking at a menu, you just want to EAT because...More",+1 347-857-6619,2.5,"668 Bay St, Staten Island, NY 10304-3829"
Taverna Banfi," Italian, Vegetarian Friendly, Gluten Free Options",4.0,172.0,"Outstanding place for dinner especially if one is in the Cornell University area. Like others, the food is wonderful but like others say, the price is stiff. First class restaurant with good atmosphere, great senic view, great service and since Cornell is on top of...More",+1 607-254-2565,4.0,"130 Statler Drive, Ithaca, NY 14853-6901"
The Cabin Restaurant," American, Bar, Vegetarian Friendly",4.0,144.0,"The busy parking lot and constant flow of people let you know there must be something that keeps people coming back.  The food is good and the service friendly.  Nothing fancy, but it's an efficient operation and it has a good vibe.  I had the...More",+1 914-592-6682,2.5,"1172 Knollwood Rd, White Plains, NY 10603-1099"
Sweet Basil," Asian, Thai, Vegetarian Friendly",4.5,129.0,"My mom and I stopped here for lunch on a weekday. The service was great, and the food was even better, we were both very happy with our lunch selections. Be aware that they don't serve alcohol.",+1 518-729-4111,2.5,"370 Delaware Ave, Albany, NY 12209-1622"
Gyro World," Mediterranean, Greek, Vegetarian Friendly",4.5,83.0,"I went yesterday for the first time, food was delicious. I was a little taken back at first as I saw this place on Instagram and knew I needed to try it. I love gyro' greek salad, etc. Parking wasn't bad for a mid Sunday...More",+1 718-428-3800,1.0,"19423 Northern Blvd, Flushing, NY 11358-3032"
Trattoria L'incontro," Italian, Vegetarian Friendly, Vegan Options",4.5,415.0,"We were in town from sunny Florida to celebrate our daughters birthdays. My son in law ( Ron ), who is the ultimate Italian foodie,  took us here for the big night ( he’s a regular). Everything from the incredible food ( which he picked...More",+1 718-721-3532,4.0,"2176 31st St, Astoria, NY 11105-2602"
Tomino - Taberna Gallega," Spanish, Wine Bar, Mediterranean",4.5,197.0,Excellent meals and service. Continental cooking in the heart of Manhattan. Great variety of authentic Spanish dishes.,+1 212-933-4763,2.5,"192 Grand St, New York City, NY 10013-3712"
Zuppa Restaurant & Lounge, Italian,4.0,96.0,"We came for restaurant week and for the most part were not disappointed. The place was really nice with a loft, Soho style atmosphere. The menu was very ample. The red pepper soup was fabulous as were the eggplant spheres. The chicken was cooked perfectly...More",+1 914-376-6500,2.5,"59 Main Street, Yonkers, NY 10701"
Grappa '72 Ristorante," Italian, Vegan Options, Vegetarian Friendly",4.5,362.0,"Friends raved about this place.  We must have hit a bad night as things were just not right in many ways.  The wait staff tries hard, but must be coached to serve the ladies first, take their orders first, etc.  The water person did a...More",+1 518-482-7200,2.5,"818 Central Ave, Albany, NY 12206-1543"
Ribs On the Run," Barbecue, American",4.5,35.0,"Took the chicken and ribs combo - was very good

Falling of the bone as they should

BBQ sauce also tasty",+1 914-428-7427,1.0,"396 Central Ave, White Plains, NY 10606-1211"
Norma," Italian, Pizza, Mediterranean",4.5,204.0,"Food--wow very Sicilian, prices fair
Service--friendly, efficient, genuine
Ambience--nice layout despite small space

More Italian heard here than most

Make sure you stop by if in the area",+1 212-889-0600,2.5,"438 3rd Ave, New York City, NY 10016-6040"
Petite Boucherie," French, Vegetarian Friendly, Vegan Options",4.5,503.0,"Beautiful authentic French bistrot. I had a wonderful experience, the service and food were excellent. I will definitely come back. Thank you !",+1 646-756-4145,2.5,"14 Christopher St, New York City, NY 10014-3523"
Kitty Hoynes Irish Pub & Restaurant," Bar, American, Irish",4.5,659.0,"We recently stayed in Armory Square while visiting our son at Syracuse University.  My wife and I and some friends drove up for a basketball game, and Kitty Hoynes was directly across the street from our hotel.  It proved to be the perfect place to...More",+1 315-424-1974,2.5,"301 W Fayette St, Syracuse, NY 13202-1201"
Rosie's Bistro Italiano," Italian, Vegetarian Friendly",4.0,179.0,"The rigatoni bolognese is one of the best in Westchester. The service is average but attentive enough. The real issue, however, is Parking. Parking in Bronxville is difficult but the real problem are the overly aggressive meter maids. I stopped frequenting Bronxville restaurants because of...More",+1 914-793-2000,2.5,"10 Palmer Ave, Bronxville, NY 10708-3404"
The Grange Bar & Eatery," American, Bar, Vegetarian Friendly",4.5,190.0,"I went at the grange bar with friends in a cold night of January for a snack. we had tartare, french onion soup and roasted cauliflower. for dessert we had a superlative bread pudding. this place in West harlem is very nice and friendly, ingredients...More",+1 212-491-1635,2.5,"1635 Amsterdam Ave, New York City, NY 10031-6103"
Taverna Kyclades," Seafood, Mediterranean, Greek",4.5,766.0,"This has been our favorite restaurant, since we discovered it. The food is always delicious and the service is great.",+1 718-545-8666,2.5,"3307 Ditmars Blvd, Astoria, NY 11105-2105"
San Carlo Osteria Piemonte," Italian, Mediterranean, Vegetarian Friendly",4.5,695.0,Was greatly pleased by this discovery in Soho. The staff is great and the food more than incredible plus a good selection of wine makes this a pleasant place to eat.,+1 212-625-1212,2.5,"90 Thompson St, New York City, NY 10012-3744"
Rincon Criollo," Caribbean, Latin, Spanish",4.5,125.0,"My husband and saw this restaurant on an episode of Diners, Dives and Drive In's.  We decided to try it out to see if it was a good as Guy Fieri described.  The food was good I expected portions to be a little bigger. The...More",+1 718-639-8158,2.5,"4009 Junction Blvd, Corona, NY 11368-2123"
P.C.'s Paddock Restaurant," American, Bar, Vegetarian Friendly",4.5,260.0,Went on a busy New Years Eve (2020) . They were very busy and service was a little spotty but the specals were plentiful and very good. Enough for left overs the next day. Would go there again.,+1 845-454-4930,2.5,"273 Titusville Rd, Poughkeepsie, NY 12603-3269"
Jungsik," Asian, Korean, Gluten Free Options",4.5,272.0,"Instead of going for the full tasting menu we came here to enjoy their dessert only tasting menu. Understandably, this is served in the bar rather than in the main dining area. Despite this, the service - of both the food and wine - was...More",+1 212-219-0900,4.0,"2 Harrison St, New York City, NY 10013-2810"
Champs Diner," American, Diner, Vegetarian Friendly",4.5,198.0,"The food doesn’t seem vegan — carnivore friends would feel comfortable!  Mine did!  I had the breakfast plate with tofu scramble, bacon, sausage, hash browns, and pancakes.  The pancakes were light & fluffy.  I also had a milkshake that was delicious!  The hash browns could...More",+1 718-599-2743,2.5,"197 Meserole St, Brooklyn, NY 11206-2229"
The Cheesecake Factory," American, Vegetarian Friendly, Vegan Options",3.5,227.0,"We came last night for a family dinner and the place was empty so, we were seated promptly at a booth.
Starters Fried Calamari & Spinach Dip was shared.

Grilled NY Steak, Rib Eye, Carme Asada, Shrimp & Pasta, were our order..
The Steaks looked...More",+1 914-709-9240,2.5,"140 Market St, Yonkers, NY 10710-7605"
Jacob Restaurant," American, Vegetarian Friendly, Vegan Options",4.5,112.0,"The cashiers and other workers are very pleasant. The food is tasty also. If you like 70's music, the live band will have you singing and patting your feet, while you pile your plate with tasty food.",+1 212-866-3663,1.0,"373 Lennox Avenue, New York City, NY 10027"
RabbitHole," American, Healthy, Vegetarian Friendly",4.5,270.0,I went here for the second time.  My daughter lives near it.   The menu changes regularly and the food is all good.,+1 718-782-0910,2.5,"352 Bedford Ave, Brooklyn, NY 11249-5586"
LIC Market," American, International, Vegetarian Friendly",4.5,201.0,"A friend and myself finally got around to checking out this cute location for Sunday brunch. And so glad we did! The food was delicious and reasonably priced (for a “NYC” weekend brunch - we spent about $30 each, which included the two mimosas we...More",+1 718-361-0013,2.5,"2152 44th Dr, Long Island City, NY 11101-4710"
Al Di La Trattoria," Italian, Vegetarian Friendly, Gluten Free Options",4.5,320.0,"The bruschetta and the gnocchi are to die for here. This is a gem of its neighborhood, so I was told, and I must agree! The service was friendly and the restaurant is quaint although busy. The gnocchi was cooked to perfection and paired with...More",+1 718-636-8888,2.5,"248 5th Ave, Brooklyn, NY 11215-1201"
Sperry's Restaurant," American, Vegetarian Friendly, Vegan Options",4.5,647.0,"I liked a lot this place, tasty, complete dishes with good service) I wish to come back again soon ...",+1 518-584-9618,4.0,"30 1/2 Caroline St, Saratoga Springs, NY 12866-3201"
The Palace Diner," American, Diner, Vegetarian Friendly",4.0,161.0,"Was there late at night after work with a small group of people. Nice clean place, fun decor, great waiter, fast service, and generous tasy portions for the price. Definitely great for diner type fare. I recommend it, and will go back next time I'm...More",+1 845-473-1576,2.5,"194 Washington St, Poughkeepsie, NY 12601-1357"
Acquista Trattoria," Italian, Pizza, Vegetarian Friendly",4.5,37.0,"stopped for dinner after seeing Lucie Arnaz @ the Little Theater @ St. John's-glad we did
we had:  egg plant parm hero; chicken monte carlo(chicken breast w asparagus, mozzarella sauteed in champagne sauce w mixed veggies w a glass of a nice sicilian white made...More",+1 718-969-1411,2.5,"17801 Union Tpke, Flushing, NY 11366-1633"
Nick's Bistro," Greek, Mediterranean, Vegetarian Friendly",4.5,49.0,"We eat here often.  The food is always well prepared.
They could do better with the Greek.  
Good value.",+1 718-544-6425,2.5,"10420 Metropolitan Ave, Forest Hills, NY 11375-6736"
317 @ Montgomery," American, Contemporary, Fusion",4.5,131.0,"I am NOT a fan of noisy restaurants, and the 317 is perfect for great food and conversation. We had the steak and it was perfectly cooked, followed by the flourless chocolate cake, which was divine. The service was attentive, and the atmosphere pleasant. My...More",+1 315-214-4267,4.0,"317 Montgomery St, Syracuse, NY 13202-2058"
Alto Cinco," Mexican, Southwestern, Vegetarian Friendly",4.0,309.0,"Enjoyed dinner on a Monday night after restaurant had been recommended to us. 
Very solid restaurant with a lot of options.
Pleasant atmosphere .
Dint hesitate to give it a try .",+1 315-472-3633,2.5,"526 Westcott St, Syracuse, NY 13210-2549"
SoleLuna," Italian, Mediterranean, Vegetarian Friendly",4.5,89.0,"Two couples  -  Valerio, a restaurateur from Milan, Italy, his wife Michele from Venezuela and Gina and Francesca, also restaurateurs from Cisternino, a small village in the heart of Puglia, Italy - came together in a partnership and opened two restaurants in Queens. This one...More",+1 929-296-3942,2.5,"4001 Queens Blvd, Sunnyside, NY 11104-3301"
The Cheesecake Factory," Italian, American, Vegetarian Friendly",4.0,777.0,The restaurant is big and food was great. Lots to choose from and the dishes I ordered were amazing. Cheesecake is a bit pricey.,+1 518-453-2500,2.5,"131 Wolf Road, Albany, NY 12205"
Sangam Indian Cuisine," Indian, Vegetarian Friendly, Vegan Options",4.5,175.0,Absolutely terrific service! I went in after the lunch buffet ended and they still let me take a to-go box and even went out of their way to make some Naan bread. I had the best conversation with the owner. The people that work there...More,+1 607-273-1006,2.5,"424 Eddy St, Ithaca, NY 14850-4618"
NYY Steak," American, Steakhouse",4.0,72.0,Finally got time to make reservation and enjoy this restaurant before a game. I was not disappointed. We got to the Stadium early and we were seated right away. Our Waitress was so helpful with advice on what to eat and she was super friendly...More,+1 646-977-8325,4.0,"River Rd. and 61st street, Bronx, NY 10451"
Parkside Meadow," American, Bar, Pub",4.5,84.0,"We stopped here after visiting Darwin Martin house complex, which is just a short walk away. The restaurant was busy even at 2PM, and we had a longer than usual wait for service. The menu had plenty of options: appetizers, salads, sandwiches, pastas, wings, and...More",+1 716-834-8348,2.5,"2 Russell St, Buffalo, NY 14214-1930"
